qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.01098942756652832,0.014000415802001953,0.014999866485595703,0.017008304595947266,0.014992475509643555,0.019006729125976562,0.011003494262695312
0.009999752044677734,0.014000415802001953,0.013999700546264648,0.015999555587768555,0.01500082015991211,0.017999887466430664,0.009994983673095703
0.011004209518432617,0.014993667602539062,0.015006542205810547,0.015000343322753906,0.014999151229858398,0.018001556396484375,0.010999441146850586
0.010000228881835938,0.013998985290527344,0.014992713928222656,0.016008615493774414,0.014999628067016602,0.017999649047851562,0.009999752044677734
0.010000228881835938,0.014000177383422852,0.014999151229858398,0.01799297332763672,0.015008687973022461,0.016998767852783203,0.011000394821166992
0.009999275207519531,0.014000654220581055,0.013999462127685547,0.016000986099243164,0.014999151229858398,0.018000364303588867,0.01000070571899414
0.01000213623046875,0.013999223709106445,0.013998746871948242,0.016002655029296875,0.014990091323852539,0.01801156997680664,0.009995698928833008
0.009999990463256836,0.013999462127685547,0.014000177383422852,0.017999887466430664,0.01599884033203125,0.017994403839111328,0.010000228881835938
0.01100015640258789,0.014093637466430664,0.012975931167602539,0.015930652618408203,0.01599884033203125,0.018009662628173828,0.010998725891113281
0.00999903678894043,0.014999866485595703,0.015000343322753906,0.015999555587768555,0.016000747680664062,0.01800084114074707,0.010999679565429688
0.009999752044677734,0.01500082015991211,0.013999223709106445,0.01700139045715332,0.015999317169189453,0.01900172233581543,0.010998010635375977
0.010999441146850586,0.014000654220581055,0.0149993896484375,0.017000198364257812,0.01600050926208496,0.017999649047851562,0.01199960708618164
0.010000944137573242,0.0149993896484375,0.01399993896484375,0.01800084114074707,0.01600027084350586,0.01899862289428711,0.011993408203125
0.011008501052856445,0.015999794006347656,0.014998912811279297,0.018001079559326172,0.016000747680664062,0.01899862289428711,0.01200103759765625
0.01099848747253418,0.015000104904174805,0.014000654220581055,0.018001794815063477,0.015997648239135742,0.018999814987182617,0.011000871658325195
0.009998798370361328,0.017000198364257812,0.015000343322753906,0.015992164611816406,0.016007423400878906,0.018999814987182617,0.01000070571899414
0.01100015640258789,0.014000415802001953,0.014000177383422852,0.015997886657714844,0.01599431037902832,0.018007278442382812,0.010999202728271484
0.010000228881835938,0.01399993896484375,0.012999534606933594,0.016000032424926758,0.014999866485595703,0.017000675201416016,0.009993791580200195
0.01100611686706543,0.0139923095703125,0.017012834548950195,0.01699519157409668,0.015992403030395508,0.018007278442382812,0.011999845504760742
0.010000228881835938,0.014015674591064453,0.013984441757202148,0.01600050926208496,0.014999151229858398,0.018000364303588867,0.009999752044677734
0.009992122650146484,0.014008283615112305,0.013999700546264648,0.016010046005249023,0.014996767044067383,0.017999887466430664,0.011000394821166992
0.010001420974731445,0.013991355895996094,0.014007568359375,0.015001773834228516,0.014997482299804688,0.017992734909057617,0.011008501052856445
0.009999990463256836,0.013998746871948242,0.014001131057739258,0.016999483108520508,0.015000581741333008,0.017992258071899414,0.01000833511352539
0.009999513626098633,0.014000177383422852,0.013999462127685547,0.01799917221069336,0.015000343322753906,0.017000198364257812,0.010000944137573242
0.009999275207519531,0.015000343322753906,0.014999628067016602,0.016002655029296875,0.014995574951171875,0.017002344131469727,0.010999441146850586
0.010000944137573242,0.013999462127685547,0.01399993896484375,0.01699995994567871,0.014992475509643555,0.017007112503051758,0.010001182556152344
0.00999903678894043,0.014000892639160156,0.012998819351196289,0.016001462936401367,0.015016794204711914,0.01798272132873535,0.009999275207519531
0.009999990463256836,0.0149993896484375,0.014001131057739258,0.0149993896484375,0.01399993896484375,0.017992496490478516,0.011008739471435547
0.010001420974731445,0.013997554779052734,0.01500082015991211,0.015991926193237305,0.01599907875061035,0.019009113311767578,0.010000467300415039
0.01099848747253418,0.014000177383422852,0.015008211135864258,0.01699972152709961,0.01399993896484375,0.018001556396484375,0.01099848747253418
0.009999990463256836,0.013999462127685547,0.013992786407470703,0.01600050926208496,0.015001296997070312,0.016999006271362305,0.01100015640258789
0.009999990463256836,0.01500082015991211,0.013999462127685547,0.014999628067016602,0.016000032424926758,0.01799774169921875,0.01100015640258789
0.012000083923339844,0.01399993896484375,0.014000177383422852,0.015999555587768555,0.015000104904174805,0.017999887466430664,0.009999990463256836
0.009999752044677734,0.013000249862670898,0.01299905776977539,0.01599907875061035,0.014000177383422852,0.017999649047851562,0.011001110076904297
